hour_of_day,trip_count
0,7.25886524822695
1,4.486274509803922
2,3.396135265700483
3,2.6526946107784433
4,2.019704433497537
5,3.925196850393701
6,13.879432624113475
7,31.378006872852232
8,58.63013698630137
9,47.554794520547944
10,44.31399317406143
11,50.41296928327645
12,58.63013698630137
13,63.88013698630137
14,68.79794520547945
15,75.58904109589041
16,82.34931506849315
17,111.63013698630137
18,111.4639175257732
19,79.89003436426117
20,52.87285223367697
21,30.81786941580756
22,18.72852233676976
23,12.577854671280276
